Concat_Subtype_Element_Type,Weightings,Varient_Commment
Boathouse_Floats,7,NULL
Boathouse_Floats,9,If asset is floating
Boathouse_Floor,8,NULL
Boathouse_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Boathouse_Foundation,9,NULL
Boathouse_Frame,8,NULL
Boathouse_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Boathouse_Fuel Cell,NULL,NULL
Boathouse_Gas System,NULL,NULL
Boathouse_Heating System,NULL,NULL
Boathouse_Hydro Turbine,NULL,NULL
Boathouse_Incomer,NULL,NULL
Boathouse_Internal Features,1,NULL
Boathouse_Lighting,NULL,NULL
Boathouse_Roller Shutters,6,NULL
Boathouse_Roller Shutters,9,If element is critical foraccess/egress/security
Boathouse_Roof,8,NULL
Boathouse_Roof,9,If element is critical forsecurity or building is ofmajor significance
Boathouse_Security Camera,1,NULL
Boathouse_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
Boathouse_Solar Panel,NULL,NULL
Boathouse_Transformer,NULL,NULL
Boathouse_Treads and Risers,3,NULL
Boathouse_Treads and Risers,7,if required foroperational access.
Boathouse_Uninterruptible Power Supply,NULL,NULL
Boathouse_Ventilation System,NULL,NULL
Boathouse_Waste Disposal System,NULL,NULL
Boathouse_Water Supply Plumbing System,7,NULL
Boathouse_Water Supply Plumbing System,9,If critical for theoperation of the assetand no alternativearrangement areavailable.
Boatroller_Access Strip,6,NULL
Boatroller_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Boatroller_Bearing Piling,6,NULL
Boatroller_Bearing Piling,8,If element is key tostructural stability orsafety.
Boatroller_Foundation,9,NULL
Boatroller_Frame,6,NULL
Boatroller_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Boatroller_Gantry,1,NULL
Boatroller_Gantry,5,If failure wouldcompromise operation.
Boatroller_Ladder,3,NULL
Boatroller_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Boatroller_Mooring Point,6,NULL
Boatroller_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Boatroller_Piling,6,NULL
Boatroller_Piling,8,If element is key tostructural stability orsafety.
Boatroller_Retaining Wall,6,NULL
Boatroller_Retaining Wall,9,if failure prevents theoperation of the asset
Boatroller_Rollers,7,NULL
Boatroller_Security Barrier,3,NULL
Boatroller_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Boatroller_Slope,6,NULL
Boatroller_Slope,9,If element critical tooverall asset function.
Boatroller_Stoplogs and Lasherboards,3,NULL
Boatroller_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Boatroller_Walkway,3,NULL
Boatroller_Winch,NULL,NULL
Borehole_Access Point,6,NULL
Borehole_Access Point,3,If element is sole accessroute to asset andrequired formaintenance.
Borehole_Access Strip,6,NULL
Borehole_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Borehole_Borehole Cap,3,NULL
Borehole_Borehole Cap,9,If element is critical tothe protection ofgroundwater
Borehole_Cable and Pipe Management,4,NULL
Borehole_Cable and Pipe Management,7,If pipes carry waterfrom borehole orcontrol or power cables
Borehole_Camera,7,NULL
Borehole_Camera,5,if able to monitor assetby alternative means.
Borehole_Casing,5,NULL
Borehole_Casing,9,If element is critical forthe asset to performmonitoring / flowcalculation / levelmeasurement function
Borehole_Chamber,4,NULL
Borehole_Chamber,9,If element is critical foroperation.
Borehole_Climate Control,NULL,NULL
Borehole_Common Controls,NULL,NULL
Borehole_Cover or Hatch,1,NULL
Borehole_Datum Plates and Markers,4,NULL
Borehole_Datum Plates and Markers,7,If critical for datacalibration / qualitychecks.
Borehole_Distribution Board,NULL,NULL
Borehole_Distribution Network Operator Feeder,NULL,NULL
Borehole_Electrical System,NULL,NULL
Borehole_Electricity Meter,NULL,NULL
Borehole_Electricity Sub Meter,NULL,NULL
Borehole_Equipment Housing,4,NULL
Borehole_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Borehole_Expansion Joint,5,NULL
Borehole_Expansion Joint,8,if failure could cause ajet of water to scour /
Borehole_External Walls,6,NULL
Borehole_External Walls,9,If element deemed tobe load bearing orrequired for security
Borehole_Fastenings,7,NULL
Borehole_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Borehole_Fixings,3,NULL
Borehole_Floor,8,NULL
Borehole_Floor,9,if affected area can't beisolated and preventsthe operation of theasset as a whole.
Borehole_Foundation,9,NULL
Borehole_Frame,8,NULL
Borehole_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Borehole_Grassed Elements,1,NULL
Borehole_Incomer,NULL,NULL
Borehole_Ladder,3,NULL
Borehole_Ladder,1,if element doesn'tcontribute to primaryfunction of the asset
Borehole_Lifting Chains and Sprockets,NULL,NULL
Borehole_Lighting,NULL,NULL
Borehole_Maintenance Hole,3,NULL
Borehole_Maintenance Hole,6,If element provides solemeans of undertakingmaintenance orinspection activity.
Borehole_Measurement Scale,7,NULL
Borehole_Measurement Scale,9,If sole means ofmeasuring a value.
Borehole_Padlock or Lock,6,NULL
Borehole_Padlock or Lock,9,if critical to theoperation of the asset
Borehole_Pipe,6,NULL
Borehole_Pipe,9,If fully fuctionality ofthe assets is dependentsolely on the pipe beingassessed.
Borehole_Pipe Flange,6,NULL
Borehole_Pipe Flange,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Borehole_Pipe Sleeve,3,NULL
Borehole_Pipe T Piece,6,NULL
Borehole_Pipe T Piece,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Borehole_Pipe Valve,6,NULL
Borehole_Pipe Valve,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Borehole_Pipework,6,NULL
Borehole_Pipework,9,if on a pipe that iscritical to the assetoperation and can't bebypassed and isolated.
Borehole_Planted Elements,1,NULL
Borehole_Relay Control,NULL,NULL
Borehole_Seals,5,NULL
Borehole_Seals,7,If element is critical forasset function
Borehole_Security Camera,1,NULL
Borehole_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element of
Borehole_Sensor,7,NULL
Borehole_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
Borehole_Shaft,7,NULL
Borehole_Solar Panel,NULL,NULL
Borehole_Struts and Bracing,7,NULL
Borehole_Substructure,8,NULL
Borehole_Substructure,9,if function /performance of theasset beingcompromised.
Borehole_Surge Arrester,NULL,NULL
Borehole_Transformer,NULL,NULL
Borehole_Treads and Risers,3,NULL
Borehole_Treads and Risers,7,if required foroperational access.
Borehole_Vertical Extended Spindle,NULL,NULL
Borehole_Wind Turbine,NULL,NULL
Breakwater_Bearing Piling,6,NULL
Breakwater_Bearing Piling,9,If element is key tostructural stability orsafety.
Breakwater_Bedding Layer,4,NULL
Breakwater_Capping Beam,4,NULL
Breakwater_Crest,7,NULL
Breakwater_Crest,9,If asset is extremelyexposed.
Breakwater_Exposed Face,7,NULL
Breakwater_Exposed Face,9,If asset is extremelyexposed.
Breakwater_Face Protection,7,NULL
Breakwater_Fishtail,5,NULL
Breakwater_Fishtail,7,If asset is extremelyexposed.
Breakwater_Landward Face,7,NULL
Breakwater_Landward Face,9,If Asset is extremelyexposed.
Breakwater_Left Face,7,NULL
Breakwater_Left Face,9,If asset is extremelyexposed.
Breakwater_Mooring Point,6,NULL
Breakwater_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Breakwater_Piling,6,NULL
Breakwater_Piling,9,If element is key tostructural stability orsafety.
Breakwater_Right Face,7,NULL
Breakwater_Right Face,9,If asset is extremelyexposed.
Breakwater_Roundhead,5,NULL
Breakwater_Roundhead,7,If asset is extremelyexposed.
Breakwater_Sheet Piling,8,NULL
Breakwater_Sheet Piling,9,If element is used forholding back water orvery exposed
Breakwater_Treads and Risers,3,NULL
Breakwater_Treads and Risers,7,if required foroperational access.
Breakwater_Waling,6,NULL
Bridge Abutment_Berm,5,NULL
Bridge Abutment_Berm,7,If less than 3 metreswide.
Bridge Abutment_Channel Side,5,NULL
Bridge Abutment_Channel Side,7,If less than 3 metreshorizontally from asset.
Bridge Abutment_Crest,7,NULL
Bridge Abutment_Exposed Face,9,NULL
Bridge Abutment_Landward Face,7,NULL
Bridge Abutment_Landward Face,3,If Landward Face is HighGround.
Bridge Abutment_Shore,5,NULL
Bridge Abutment_Shore,8,"If asset is extremelyexposed, or Shoreprovides structuralstability and preventsexposure of thefoundations."
Bridge_Abutment,7,NULL
Bridge_Abutment,9,If no revetment (Faceprotection) present
Bridge_Automation Interface,NULL,NULL
Bridge_Balustrade,4,NULL
Bridge_Balustrade,9,If Bridge is narrow andElement required forsafe operation
Bridge_Bollard,3,NULL
Bridge_Bollard,6,If element plays a safetycritical role
Bridge_Cable and Pipe Management,3,NULL
Bridge_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe Bridge such ascontrol cables or powerfor safety systems
Bridge_Channel Bed,7,NULL
Bridge_Channel Bed,9,If the Channel Bedprovides structuralsupport or erosion
Bridge_Deck,7,NULL
Bridge_Deck,9,If Deck is over water.
Bridge_Drive Assembly,7,NULL
Bridge_Drive Assembly,9,If there is no alternativefor operating the asset.
Bridge_Foundation,9,NULL
Bridge_Handrail,4,NULL
Bridge_Handrail,7,If element required forsafe operation.
Bridge_Pillar,8,NULL
Bridge_Pillar,9,If element is critical tostructural integrity ofthe asset.
Bridge_Security Barrier,3,NULL
Bridge_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Bridge_Span,9,NULL
Bridge_Treads and Risers,7,NULL
Bridge_Treads and Risers,9,if required foroperational access.
Buoy_Anchor and Chain,9,NULL
Buoy_Daymark,9,NULL
Buoy_Fastenings,7,NULL
Buoy_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
Buoy_Foghorn,NULL,NULL
Buoy_Frame,6,NULL
Buoy_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Buoy_Mooring Point,6,NULL
Buoy_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Buoy_Navigation Light,4,NULL
Buoy_Positional Indicator,NULL,NULL
Buoy_Post,8,NULL
Buoy_Post,9,If element is critical forasset function
Buoy_TopMark,2,NULL
Cableway_Access Point,9,NULL
Cableway_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Cableway_Access Strip,9,NULL
Cableway_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Cableway_Beams,8,NULL
Cableway_Beams,9,If element deemed tobe load bearing
Cableway_Cable and Pipe Management,4,NULL
Cableway_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe cableway such ascontrol cables orsupport for thecableway.
Cableway_Chain Blocks,NULL,NULL
Cableway_Drive Assembly,7,NULL
Cableway_Drive Assembly,9,If there is no alternativefor operating the asset.
Cableway_Equipment Housing,4,NULL
Cableway_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
Cableway_Fixings,6,NULL
Cableway_Fixings,9,If fixing is critical tosecurity/structure ofasset.
Cableway_Foundation,9,NULL
Cableway_Frame,7,NULL
Cableway_Frame,9,If structure is of majorsignificance and failurewill compromiseoperation.
Cableway_Padlock or Lock,6,NULL
Cableway_Padlock or Lock,9,if critical to theoperation of the asset
Cableway_Ropes,9,NULL
Cableway_Stanchions and Anchors,9,NULL
Cableway_Structural Steelwork,9,NULL
Cableway_Treads and Risers,3,NULL
Cableway_Treads and Risers,7,if required foroperational access.
Cableway_Winch,NULL,NULL
Canoe Pass_Access Strip,6,NULL
Canoe Pass_Access Strip,3,If an alternate accessfor regular maintenanceis available.
Canoe Pass_Bearing Piling,6,NULL
Canoe Pass_Bearing Piling,9,If element is key tostructural stability orsafety.
Canoe Pass_Chamber,4,NULL
Canoe Pass_Chamber,9,If element is critical foroperation.
Canoe Pass_Channel Bed,7,NULL
Canoe Pass_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Canoe Pass_Gantry,1,NULL
Canoe Pass_Gantry,5,If failure wouldcompromise operation.
Canoe Pass_Ladder,3,NULL
Canoe Pass_Ladder,5,"if element is consideredcritical to access, egressor security or to theoverall asset function."
Canoe Pass_Left Bank Wall,6,NULL
Canoe Pass_Left Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Canoe Pass_Mooring Point,6,NULL
Canoe Pass_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Canoe Pass_Piling,6,NULL
Canoe Pass_Piling,9,If element is key tostructural stability orsafety.
Canoe Pass_Right Bank Wall,6,NULL
Canoe Pass_Right Bank Wall,4,If asset is minor andfailure will notcompromise operation.
Canoe Pass_Security Barrier,3,NULL
Canoe Pass_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Canoe Pass_Slope,6,NULL
Canoe Pass_Slope,9,If element critical tooverall asset function.
Canoe Pass_Stoplogs and Lasherboards,3,NULL
Canoe Pass_Stoplogs and Lasherboards,9,If required to performfrequent maintenanceor inspection activitiesactivities
Canoe Pass_Walkway,3,NULL
Canoe Portage Point_Access Strip,9,NULL
Canoe Portage Point_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Canoe Portage Point_Anchor and Chain,6,NULL
Canoe Portage Point_Anchor and Chain,9,If sole restraint
Canoe Portage Point_Bearing Piling,6,NULL
Canoe Portage Point_Bearing Piling,9,If element is key tostructural stability orsafety.
Canoe Portage Point_Capping Beam,6,NULL
Canoe Portage Point_Deck,7,NULL
Canoe Portage Point_Deck,9,If Deck is over water.
Canoe Portage Point_Fender,5,NULL
Canoe Portage Point_Gantry,1,NULL
Canoe Portage Point_Gantry,5,If failure wouldcompromise operation.
Canoe Portage Point_Habitat Enhancement,1,NULL
Canoe Portage Point_Mooring Point,6,NULL
Canoe Portage Point_Mooring Point,9,If element is asingle/only mooringpoint or critical fornavigation oroperational access
Canoe Portage Point_Piling,6,NULL
Canoe Portage Point_Piling,9,If element is key tostructural stability orsafety.
Canoe Portage Point_Security Barrier,3,NULL
Canoe Portage Point_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Canoe Portage Point_Sheet Piling,7,NULL
Canoe Portage Point_Sheet Piling,9,if failure would preventaccess / operation.
Canoe Portage Point_Slope,3,NULL
Canoe Portage Point_Treads and Risers,3,NULL
Canoe Portage Point_Treads and Risers,7,if required foroperational access.
Car Park or Hardstanding_Access Point,9,NULL
Car Park or Hardstanding_Access Point,3,"If an alternate access isavailable, for operationof the asset."
Car Park or Hardstanding_Access Strip,9,NULL
Car Park or Hardstanding_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Car Park or Hardstanding_Bollard,3,NULL
Car Park or Hardstanding_Bollard,6,If element plays a safetycritical role
Car Park or Hardstanding_Drainage Ditch,5,NULL
Car Park or Hardstanding_Drainage System,5,NULL
Car Park or Hardstanding_Drainage System,9,"if failure could not bemitigated and wouldcause a H,S&W /pollution incident."
Car Park or Hardstanding_Grassed Elements,3,NULL
Car Park or Hardstanding_Grassed Elements,5,If element forms a keycomponent of the finalsurface.
Car Park or Hardstanding_Kerbs,4,NULL
Car Park or Hardstanding_Lighting,NULL,NULL
Car Park or Hardstanding_Parking Surface,9,NULL
Car Park or Hardstanding_Road,3,NULL
Car Park or Hardstanding_Road,9,"If critical to thefunctioning of the asset,i.e., there is noalternative access."
Car Park or Hardstanding_Security Barrier,3,NULL
Car Park or Hardstanding_Security Barrier,9,if critic to preventingunauthorised access orthere is no alternativeaccess for authorisedpeople / operationalstaff.
Car Park or Hardstanding_Security Camera,1,NULL
Car Park or Hardstanding_Security Camera,6,If Asset has a history ofsuffering from criminalactivity and the camerais a critical element ofthe security systemprotecting the Asset.
CCTV Camera System_Camera,7,NULL
CCTV Camera System_Camera,5,if able to monitor assetby alternative means.
CCTV Camera System_Civils,4,NULL
CCTV Camera System_Distribution Board,NULL,NULL
CCTV Camera System_Distribution Network Operator Feeder,NULL,NULL
CCTV Camera System_Electrical System,NULL,NULL
CCTV Camera System_Electricity Meter,NULL,NULL
CCTV Camera System_Electricity Sub Meter,NULL,NULL
CCTV Camera System_Equipment Housing,4,NULL
CCTV Camera System_Equipment Housing,6,"If equipment containedwithin element is notindependentlyweatherproof,independently securedor poses a safety risk."
CCTV Camera System_Fastenings,7,NULL
CCTV Camera System_Fastenings,1,if item secured and itdoes not directlycontribute towards theperformance of theassets.
CCTV Camera System_Foundation,9,NULL
CCTV Camera System_Incomer,NULL,NULL
CCTV Camera System_Mast,9,NULL
CCTV Camera System_Sensor,7,NULL
CCTV Camera System_Sensor,9,If the sensor is critical tothe operation of theasset and there is noinbuild back-up oralternative operationalconfiguration
CCTV Camera System_Solar Panel,NULL,NULL
CCTV Camera System_Transformer,NULL,NULL
CCTV Camera System_Treads and Risers,3,NULL
CCTV Camera System_Treads and Risers,7,if required foroperational access.
CCTV Camera System_Wind Turbine,NULL,NULL
Central Pier_Access Point,3,NULL
Central Pier_Access Point,6,"If frequent maintenanceis required to keep theasset operational, e.g.,for flow measurement,and no alternativeaccess is available."
Central Pier_Deck,7,NULL
Central Pier_Deck,9,If Deck is over water.
Central Pier_Expansion Joint,5,NULL
Central Pier_Expansion Joint,8,if failure could cause ajet of water to scour /erode foundations ofthe structure
Central Pier_External Features,4,NULL
Central Pier_External Features,6,if feature protectsstructural elementsfrom deterioration orrequired for security.
Central Pier_Foundation,9,NULL
Central Pier_Roof,8,NULL
Central Pier_Roof,9,If element is critical forsecurity or building is ofmajor significance
Central Pier_Treads and Risers,3,NULL
Central Pier_Treads and Risers,7,if required foroperational access.
Cliff_Cliff Top,1,NULL
Cliff_Drainage Ditch,5,NULL
Cliff_Exposed Face,7,NULL
Cliff_Exposed Face,9,If asset is extremelyexposed.
Cliff_Exposed Toe,5,NULL
Cliff_Exposed Toe,8,If asset is extremelyexposed.
Cliff_Face Protection,7,NULL
Complex Culvert_Apron,5,NULL
Complex Culvert_Apron,3,If apron structure is ofminor significance andfailure will not induceasset failure.
Complex Culvert_Channel Bed,7,NULL
Complex Culvert_Channel Bed,9,"If the Channel Bedprovides structuralsupport or erosionprotection, and there isevidence of scour."
Complex Culvert_Downstream Headwall,8,NULL
Complex Culvert_Downstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport anembankment orinfrastructure above."
Complex Culvert_Left Culvert Wall,7,NULL
Complex Culvert_Left Culvert Wall,9,"If construction materialis unknown, or heavyloading above theculvert."
Complex Culvert_Maintenance Hole,3,NULL
Complex Culvert_Maintenance Hole,9,if element collapse /blockage directlyimpacts theperformance of theasset.
Complex Culvert_Right Culvert Wall,7,NULL
Complex Culvert_Right Culvert Wall,9,"If construction materialis unknown, or heavyloading above theculvert."
Complex Culvert_Soffit,7,NULL
Complex Culvert_Soffit,9,"If construction materialis unknown, or heavyloading above theculvert."
Complex Culvert_Upstream Headwall,8,NULL
Complex Culvert_Upstream Headwall,6,"If flood flows are likelyto be slow (<1m/s),failure would notcompromise flows inthe short term andheadwall does notsupport anembankment orinfrastructure above."
Control Building_Access Strip,9,NULL
Control Building_Access Strip,3,"If an alternate access isavailable, for operationof the asset."
Control Building_Alternator,NULL,NULL
Control Building_Beams,8,NULL
Control Building_Beams,9,If element deemed tobe load bearing
Control Building_Cable and Pipe Management,4,NULL
Control Building_Cable and Pipe Management,7,If cables or pipes areintegral to operation ofthe building or assetbeing controlled.
Control Building_Ceiling,4,NULL
